#
# DXE files
#
5bedb5cc-d830-4eb2-8742-2d4cc9b54f2c Ip6Dxe
d912c7bc-f098-4367-92ba-e911083c7b0e Udp6Dxe
95e3669d-34be-4775-a651-7ea41b69d89e Dhcp6Dxe
99f03b99-98d8-49dd-a8d3-3219d0ffe41e Mtftp6Dxe
2e3ab8b6-ac9d-4d70-a675-54f52fb22d66 AtaPassThru
25acf158-dd61-4e64-9a49-55851e9a26c7 CsmBlockIo
29cf55f8-b675-4f5d-8f2f-b87a3ecfd063 CsmVideo
961578fe-b6b7-44c3-af35-6bc705cd2b1f Fat
1f77ffd9-c00d-4245-b2ac-f5f43e333c39 PtuLoader
86cddf93-4872-4597-8af9-a35ae4d3725f IScsiDxe
0167ccc4-d0f7-4f21-a3ef-9e64b7cdce8b ScsiBus
0a66e322-3740-4cce-ad62-bd172cecca35 ScsiDisk
634e8db5-c432-43be-a653-9ca2922cc458 Nvme
2f2295b6-1bb6-4cb7-bb9e-15c2c3424277 PcieSataController
90d3b13c-788b-4337-b91e-69acaeaeeb04 PostReport
9c65afa1-9a5e-49d9-aa81-3915ccbe2e36 DcScreen
e94f54cd-81eb-47ed-aec3-856f5dc157a9 PiSmmCore
0c375a90-4c4c-4428-8ea0-531be8959bf7 FlashDriverSmm
447a1b58-8f3e-4658-abaa-9e7b2280b90a NVRAMSmm
842a454a-75e5-408b-8b1c-36420e4e3f21 NvramSmi
a47ee2d8-f60e-42fd-8e58-7bd65ee4c29b CpuIo2Smm
e21f35a8-42ff-4050-82d6-93f7cdfa7073 PiSmmCommunicationSmm
870e0f5a-1981-45f6-ae26-0391425cc46f CpuCsrAccessSMM
116e1acf-2533-4cc2-820a-bbc10a2ab07c CpuSpSMI
aad10051-5d94-4b9f-b778-e4555ee3ccca IioSmm
378d7b65-8da9-4773-b6e4-a47826a833e2 PcRtcSmm
f3b38282-b951-4e2a-8df5-de01fc527ae4 RtcWakeup
2374eddf-f203-4fc0-a20e-61bad73089d6 IoTrap
b0d6ed53-b844-43f5-bd2f-61095264e77e PchSmiDispatcher
59287178-59b2-49ca-bc63-532b12ea2c53 PchSmbusSmm
46b94c2d-af5d-4915-814d-159323ae780a PowerButtonHandler
bc3245bd-b982-4f55-9f79-056ad7e987c5 AhciSmm
2ad511c7-1b60-4002-841d-2998ddc138ee CryptoSMM
e8c729fe-fb0a-4344-ad7e-48784116c9ef SmmIpmiBmcInitialize
15ccacbe-2a4a-45ed-9ec2-53135f98ab24 BmcAcpi
543323ce-9f0c-4ddf-a33c-bc3b3a5ac227 SmmBmcElog
413b1952-d564-4aeb-8cda-8353161500bc S3SaveSmm
291e46d4-ca63-4d33-9857-1397c9ad7c0d LegacySmmSredir
8434da1f-5ceb-402e-a93c-038cbe0f3f0e OA3_SMM
9921f5a3-d2d7-4c1a-b6b4-5ffa37d377e6 RuntimeMemoryHole
be216ba8-38c4-4535-a6ca-5dca5b43addf SmiVariable
4a6d890f-93c3-4b6d-a67d-5f2c4dce347b RuntimeSmm
935d2f78-3a1f-4de6-b28d-123a40dd2dec SmmGenericElog
8e61fd6b-7a8b-404f-b83f-aa90a47cabdf SmmSmbiosElog
f5ac7057-5650-466e-b692-76a47223efb0 AcpiSmmPlatform
a3ff0ef5-0c28-42f5-b544-8c7de1e80014 PiSmmCpuDxeSmm
56f80aa7-87fb-4f43-bee1-0ba18fad4a06 PlatformResetSmm
6d4baa0b-f431-4370-af19-99d6209239f6 PfatServices
36026efe-e214-4ede-a5d3-85053890d4a1 SmmErrorLog
1b59ccda-7db2-4a55-afc2-4364f824d288 McBankErrorInjection
fb6d36a2-ef7d-4b74-99ac-80b31f6be9b1 WheaErrorInj
91a737e6-7b54-4b5f-a491-ed5ef5c5a732 LastBootErrorLog
921cd783-3e22-4579-a71f-00d74197fcc8 HeciSmm
316b1230-0500-4592-8c09-eaba0fb6b07f SmmHddSecurity
f3331de6-4a55-44e4-b767-7453f7a1a021 MicrocodeUpdate
3b24f79d-91a0-46ff-be29-458ae211fac5 KbcEmul
e5e2c9d9-5bf5-497e-8860-94f81a09ade0 NvmeSmm
57e56594-ce95-46ad-9531-3c49310ca7ce Ofbd
20b181e2-33e8-4211-b9d7-9b8696764e66 WheaElog
aa6fb263-6464-4073-aae9-ac095a19dea3 WheaPlatform
ea1d58a2-ea3d-4c14-928a-80a14545e681 WheaPlatformBoot
e2a74738-8934-48f5-8412-99e948c8dc1b SmbiosDmiEdit
bc327dbd-b982-4f55-9f79-056ad7e987c5 SmiFlash
33fb3535-f15e-4c17-b303-5eb94595ecb6 SmmLockBox
fd93f9e1-3c73-46e0-b7b8-2bba3f718f6c TcgSmm
c56edb22-3d78-4705-a222-bdd6bd154da0 TpmClearOnRollbackSmm
04eaaaa1-29a1-11d7-8838-00500473d4eb UsbRt
750890a6-7acf-4f4f-81bd-b400c2bea95a AcpiModeEnable
2b763ede-5abf-46a1-b210-abda612696cb PpinToBmc
c57ad6b7-0515-40a8-9d21-551652854e37 Shell_Full
63819805-67bb-46ef-aa8d-1524a19a01e4 AMI-logo.bmp
a08276ec-a0fe-4e06-8670-385336c7d093 x86thunk
e998c6d8-572b-4e18-96cc-031ea3dd558c Something $OEM
142204e2-c7b1-4af9-a729-923758d96d03 LEGX16
0aa31bc6-3379-41e8-825a-53f82cc0f254 TPM32BIN
7d113aa9-6280-48c6-bace-dfe7668e8307 MPTPM
53bcc14f-c24f-434c-b294-8ed2d4cc1860 DataHubDxe
a59a0056-3341-44b5-9c9c-6d76f7673817 SignON
6372357a-06d7-43ef-b55c-1964f3dd6916 DxeIpmiBmcInitialize
ae587172-cc15-48e1-8be0-29ddf05c6a1f DxeSelStatusCode
9d0cea63-745b-417d-bba4-e5193061c907 DxeFrb
69009842-63f2-43db-964b-efad1c39ec85 all-0xFF
996aa1e0-1e8c-4f36-b519-a170a206fc14 all-0xFF
7b9a0a12-42f8-4d4c-82b6-32f0ca1953f4 $PCIDATA
3237418a-478c-4700-b59f-768e2ccbc726 CmosDxe
7e374e25-8e01-4fee-87f2-390c23c606cd AcpiTableStorage
4896840d-46bb-412b-a30a-a62abfb3682f AcpiTableStorage-extra
daf4bf89-ce71-4917-b522-c89d32fbc59f SMBiosStaticData
5e9caba3-f2b1-497a-adac-24f575e9cde9 TcgDxe
39045756-fca3-49bd-8dae-c7bae8389aff Tcg2Dxe
196ca3d8-9a5a-4735-b328-8ffc1d93d188 TcgPlatformSetupPolicy
80cf7257-87ab-47f9-a3fe-d50b76d89541 PcdDxe
cbc59c4a-383a-41eb-a8ee-4498aea567e4 FlashDriver
1807040d-5934-41a2-a088-8e0f777f71ab NVRAMDxe
61422d26-81ec-47ff-b6cf-939eaee73fba StatusCodeDxe
db08f6ca-3048-4cd8-9b1f-20bed33ecfe7 StatusCodeSmm
c2a53ec1-31ea-4ffb-a250-e00dbc41358f OemHddSecurity
17088572-377f-44ef-8f4e-b09fff46a070 Microcode
dac2b117-b5fb-4964-a312-0dcc77061b9b Font
9221315b-30bb-46b5-813e-1b1bf4712bd3 NVRAM external defaults
b1da0adf-4f77-4070-a88e-bffe1c60529a AMITSE
7bb28b99-61bb-11d5-9a5d-0090273fc14d Logo.bmp
fe612b72-203c-47b1-8560-a66d946eb371 AMITSESetupData
365c62ba-05ef-4b2e-a7f7-92c1781af4f9 ???
7934156d-cfce-460e-92f5-a07909a59eca ???
bac1001b-eccc-40c6-990d-e8c19a8e477a ???
28e535bb-559b-483e-a171-f9f8e4d66444 IpConfigurationDxe-maybe
d96f7aee-a6b9-445b-a753-3d5b75196f8c PingDxe-maybe
a0327fe0-1fda-4e5b-905d-b510c45a61d0 RaidBIOS-maybe


#
# PEI files
#
1b45cc0a-156a-428a-af62-49864da0e6e6 Apriori
1d88c542-9df7-424a-aa90-02b61f286938 WdtPei
7eb7126d-c45e-4bd0-9357-7f507c5c9cf9 RomLayoutPei
52c05b14-0b98-496c-bc3b-04b50211d680 PeiCore
c779f6d8-7113-4aa1-9648-eb1633c7d53b CapsulePei
86d70125-baa3-4296-a62f-602bebbb9081 DxeIpl
ae265864-cf5d-41a8-913d-71c155e76442 CpuIoPei
01359d99-9446-456d-ada4-50a711c03ada CpuPei
9d7af408-64a3-4af4-83c9-2d1095f700d1 CpuMpPei
1c8b7f78-1699-40e6-af33-9b995d16b043 PiSmmCommunicationPei
b4e0cdfc-30cd-4b29-a445-b0aa95a532e4 SmmAccessPei
147b4839-5dbe-413f-917f-dfeb687c6312 PchResetPeim
60ec7720-512b-4490-9fd1-a336769ae01f SmmControlPei
bdad7d1a-4c48-4c75-b5bc-d002d17f6397 AhciRecovery
1890592d-f10b-448f-93d5-91efbc760630 LoadHob
efd652cc-0e99-40f0-96c0-e08c089070fc S3Resume
4f1f379f-2a62-48bb-ac34-d3f135c6e2b7 PcatSingleSegmentPciCfg2Pei
34cc6167-7ae7-403e-8ab2-23837f398a30 PlatformInfo
f3ee22f3-0a6d-4c45-bd18-bebaba5d0a6c PlatformEarlyPolicy
ee685731-cff3-4ee7-9388-7e63fc5a59b0 PlatformEarlyInit
4862aff3-667c-5458-b274-a1c62df8ba80 HeciInit
12c67be1-ad2e-4f13-a95f-6edc2c4392de MePolicyInitPei
b6a2aff3-767c-5658-c37a-d1c82ef76543 MeUma
44640c32-33d7-4fb0-b1f9-6c7b232e994d SpsPei
6540f933-425f-464b-b4ad-b93a6ed0a8f5 OcInit
ca9d8617-d652-403b-b6c5-ba47570116ad TxtPei
34989d8e-930a-4a95-ab04-2e6cfdff6631 TcgPei
961c19be-d1ac-4ba7-87af-4ae0f09df2a6 TrEEPei
0fe9da53-043d-4265-a94d-fd77fede2eb4 TcgPlatformSetupPeiPolicy
e9312938-e56b-4614-a252-cf7d2f377e26 AmiTcgPlatformPeiBeforeMem
9b3f28d5-10a6-46c8-ba72-bd40b847a71a AmiTcgPlatformPeiAfterMem
0d8039ff-49e9-4cc9-a806-bb7c31b0bcb0 AmiTpm20PlatformPei
6b844c5b-6b75-42ca-8e8e-1cb94412b59b TcgPeiplatform
def30e37-7aec-4f69-91a2-cf099e2729f2 PciTableInit
e60a79d5-dc9b-47f1-87d3-51bf697b6121 CpuPeiDummy
c1fbd624-27ea-40d1-aa48-94c3dc5c7e0d SBPEI
0d1ed2f7-e92b-4562-92dd-5c82ec917eae CRBPei
666aabe3-7c8a-473f-b8d9-80b228df2eb8 OEMBPei
3fd1d3a2-99f7-420b-bc69-8bb1d492a332
c91c3c17-fc74-46e5-bdbe-6f486a5a9f3c
0dca793a-ea96-42d8-bd7b-dc7f684e38c1
f7fde4a6-294c-493c-b50f-9734553bb757 CapsuleX64
643df777-f312-42ed-81cc-1b1f57e18ad6 PchSmbusArpDisabled
d71c8ba4-4af2-4d0d-b1ba-f2409f0c20d3 UncoreInitPeim
fd236ae7-0791-48c4-b29e-29bdeee1a838 PchInitPeim
67451698-1825-4ac5-999d-f350cc7d5d72 CryptoPPI
7942edd0-c023-4357-93ed-f6626d711e9e PeiIpmiBmcInitialize
2700f72f-e0ea-4767-9a1e-d172f0704778 PeiSelStatusCode
0ef53039-3a38-42d1-bcec-ce966e87061a PeiFrb
dacf705c-71df-497d-aabe-10186b2e1dde Recovery
7ecd9c20-68b9-4a6f-b515-d64ff500b109 FsRecovery
10c22623-db6f-4721-aa30-4c12af4230a7 IdeRecovery
654fe61a-2eda-4749-a76a-56ed7ade1cbe CmosPei
1988a1d8-04fc-4d68-b58d-636f36f30d82 SoftStrapsPeim
39e8ca1a-7a69-4a73-834a-d06381933286 UsbPei
9b3ada4f-ae56-4c24-8dea-f03b7558ae50 PcdPeim
62eb9c56-a79c-4423-a7f0-891a345208cd IioDmiInitPeim
838dcf34-907b-4d55-9a4b-a0ef7167b5f4 NVRAMPei
e9dd7f62-25ec-4f9d-a4ab-aad20bf59a10 StatusCodePei
cc5d9e14-503b-456b-b45d-97700ed40c32 WaitBmcReadyPei
ec649471-77f4-4dc9-9bba-9fd66db667d2 PcieConfiguration
17088572-377f-44ef-8f4e-b09fff46a070 Microcode
ffffffff-ffff-ffff-ffff-ffffffffffff Pad
1ba0062e-c779-4582-8566-336ae8f78f09 SecCore
